"Filename","Total_Copies","Content_Status","Unique_Versions","File_Size_KB","Paths"
"import_measurements.py","10","DIFFERENT VERSIONS","4","0.14","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_FULL_Workspace\Automation\import_measurements.py; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\import_measurements.py; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\import_measurements.py; MICRO HYDRO NEW\MicroHydroV1\automation\import_measurements.py; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\docs\addons\MicroHydroV1_Importer_RunID_Patch_v0.3.0\MicroHydroV1\automation\import_measurements.py; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\MicroHydroV1_Importer_RunID_Patch_v0.3.0\MicroHydroV1\automation\import_measurements.py; MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_Importer_RunID_Patch_v0.3.0\MicroHydroV1\automation\import_measurements.py; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_Importer_RunID_Patch_v0.3.0\MicroHydroV1\automation\import_measurements.py; MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\MicroHydroV1_Importer_RunID_Patch_v0.3.0\MicroHydroV1\automation\import_measurements.py; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\MicroHydroV1_Importer_RunID_Patch_v0.3.0\MicroHydroV1\automation\import_measurements.py"
"index.html.docx","2","IDENTICAL","1","12.88","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\index.html.docx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\index.html.docx"
"Info.plist","3","IDENTICAL","1","0.46","MICRO HYDRO NEW\Contents\Info.plist; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\Contents\Info.plist; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\Contents 2\Info.plist"
"InitGui.py","3","DIFFERENT VERSIONS","2","0.02","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD\MicroHydroV1\InitGui.py; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD\MicroHydroV1_InModule_Installer\InitGui.py; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\MicroHydroV1_\08_Installers\InitGui.py"
"Install_MicroHydroV1","3","IDENTICAL","1","0.16","MICRO HYDRO NEW\Contents\MacOS\Install_MicroHydroV1; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\Contents\MacOS\Install_MicroHydroV1; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\Contents 2\MacOS\Install_MicroHydroV1"
"Install_MicroHydroV1_InModule.command","2","IDENTICAL","1","1.34","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD\MicroHydroV1_InModule_Installer\Install_MicroHydroV1_InModule.command; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\MicroHydroV1_\08_Installers\Install_MicroHydroV1_InModule.command"
"INTEGRATED_RUN2_Data.xlsx","2","IDENTICAL","1","8.27","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\09_Intergrated_System_Modeling\INTEGRATED_RUN2_Data.xlsx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\09_Intergrated_System_Modeling\INTEGRATED_RUN2_Data.xlsx"
"INTEGRATED_RUN2.docx","2","IDENTICAL","1","12.88","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\09_Intergrated_System_Modeling\INTEGRATED_RUN2.docx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\09_Intergrated_System_Modeling\INTEGRATED_RUN2.docx"
"Jet_Coherence_Datasheet.xlsx","2","IDENTICAL","1","8.28","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\11_Bench_Test_Pack\Jet_Coherence_Test\Jet_Coherence_Datasheet.xlsx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\11_Bench_Test_Pack\Jet_Coherence_Test\Jet_Coherence_Datasheet.xlsx"
"Jet_Coherence_Imaging_Notes.docx","2","IDENTICAL","1","12.89","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\11_Bench_Test_Pack\Jet_Coherence_Test\Jet_Coherence_Imaging_Notes.docx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\11_Bench_Test_Pack\Jet_Coherence_Test\Jet_Coherence_Imaging_Notes.docx"
"Jet_Coherence_Procedure.docx","8","IDENTICAL","1","12.91","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\11_Bench_Test_Pack\Jet_Coherence_Test\Jet_Coherence_Procedure.docx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\11_Bench_Test_Pack\Jet_Coherence_Test\Jet_Coherence_Procedure.docx; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\docs\Jet_Coherence_Procedure.docx; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\docs\Jet_Coherence_Procedure.docx; MicroHydroV1 — SoT\MicroHydroV1\docs\Jet_Coherence_Procedure.docx; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\docs\Jet_Coherence_Procedure.docx; MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\docs\Jet_Coherence_Procedure.docx; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\docs\Jet_Coherence_Procedure.docx"
"MacroSuite.zip","2","IDENTICAL","1","1.28","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD (1)old\MacroSuite.zip; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\MicroHydroV1_\09_Packages\original\MacroSuite.zip"
"MacroSuiteFull.zip","2","IDENTICAL","1","4.59","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD (1)old\MacroSuiteFull.zip; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\MicroHydroV1_\09_Packages\original\MacroSuiteFull.zip"
"make_release.py","7","DIFFERENT VERSIONS","2","0.95","MICRO HYDRO NEW\MicroHydroV1\tools\release\make_release.py; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\tools\release\make_release.py; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\tools\release\make_release.py; MicroHydroV1 — SoT\MicroHydroV1\tools\release\make_release.py; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\tools\release\make_release.py; MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\tools\release\make_release.py; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\tools\release\make_release.py"
"manifest.json","32","DIFFERENT VERSIONS","8","12.85","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\MicroHydroV1_\manifest.json; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\zipppittt\MICRO_HYDRO_Enterprise_Package_2026-01-21_Rebuild\00_Manifest\manifest.json; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\docs\addons\MANIFEST.json; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\docs\addons\MicroHydroV1_Importer_RunID_Patch_v0.3.0\MANIFEST.json; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\docs\addons\MicroHydroV1_RUN3_AutoFill_Evidence_PLUS_Workbook_v0.3.0\MANIFEST.json; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\docs\addons\MicroHydroV1_RUN3_AutoFill_Evidence_RUNID_BASELINE_v0.3.0\MANIFEST.json; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\docs\addons\MicroHydroV1_RunID_Migrator_v0.3.0\MANIFEST.json; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\MANIFEST.json; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\MicroHydroV1_Importer_RunID_Patch_v0.3.0\MANIFEST.json; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\MicroHydroV1_RUN3_AutoFill_Evidence_PLUS_Workbook_v0.3.0\MANIFEST.json; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\MicroHydroV1_RUN3_AutoFill_Evidence_RUNID_BASELINE_v0.3.0\MANIFEST.json; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\MicroHydroV1_RunID_Migrator_v0.3.0\MANIFEST.json; MicroHydroV1 — SoT\MicroHydroV1\MANIFEST.json; MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_Importer_RunID_Patch_v0.3.0\MANIFEST.json; MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_RUN3_AutoFill_Evidence_PLUS_Workbook_v0.3.0\MANIFEST.json; MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_RUN3_AutoFill_Evidence_RUNID_BASELINE_v0.3.0\MANIFEST.json; MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_RunID_Migrator_v0.3.0\MANIFEST.json; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\MANIFEST.json; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_Importer_RunID_Patch_v0.3.0\MANIFEST.json; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_RUN3_AutoFill_Evidence_PLUS_Workbook_v0.3.0\MANIFEST.json; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_RUN3_AutoFill_Evidence_RUNID_BASELINE_v0.3.0\MANIFEST.json; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_RunID_Migrator_v0.3.0\MANIFEST.json; MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\MANIFEST.json; MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\MicroHydroV1_Importer_RunID_Patch_v0.3.0\MANIFEST.json; MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\MicroHydroV1_RUN3_AutoFill_Evidence_PLUS_Workbook_v0.3.0\MANIFEST.json; MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\MicroHydroV1_RUN3_AutoFill_Evidence_RUNID_BASELINE_v0.3.0\MANIFEST.json; MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\MicroHydroV1_RunID_Migrator_v0.3.0\MANIFEST.json; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\MANIFEST.json; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\MicroHydroV1_Importer_RunID_Patch_v0.3.0\MANIFEST.json; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\MicroHydroV1_RUN3_AutoFill_Evidence_PLUS_Workbook_v0.3.0\MANIFEST.json; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\MicroHydroV1_RUN3_AutoFill_Evidence_RUNID_BASELINE_v0.3.0\MANIFEST.json; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\MicroHydroV1_RunID_Migrator_v0.3.0\MANIFEST.json"
"Master_Index.docx","8","IDENTICAL","1","26.91","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\Master_Index.docx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\Master_Index.docx; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\docs\Master_Index.docx; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\docs\Master_Index.docx; MicroHydroV1 — SoT\MicroHydroV1\docs\Master_Index.docx; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\docs\Master_Index.docx; MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\docs\Master_Index.docx; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\docs\Master_Index.docx"
"MASTER_PASS_A_Document.docx","2","IDENTICAL","1","36.28","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\MASTER_PASS_A_Document.docx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\MASTER_PASS_A_Document.docx"
"Measurements_Import_Template.csv","8","IDENTICAL","1","0.07","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\Measurements_Import_Template.csv; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\Measurements_Import_Template.csv; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\automation\Measurements_Import_Template.csv; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\automation\Measurements_Import_Template.csv; MicroHydroV1 — SoT\MicroHydroV1\automation\Measurements_Import_Template.csv; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\automation\Measurements_Import_Template.csv; MicroHydroV1_Work\MasterIntegrated_Output\02_Canonical_Working_Tree\MicroHydroV1\automation\Measurements_Import_Template.csv; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\automation\Measurements_Import_Template.csv"
"MICRO HYDRO.zip","2","DIFFERENT VERSIONS","2","14310.4","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\zipppittt\MICRO HYDRO.zip; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\zipppittt\MICRO_HYDRO_Enterprise_Package_2026-01-21_Rebuild\07_Source_Archive\MICRO HYDRO.zip"
"microhydro_master_integrator.py","2","IDENTICAL","1","17.08","MicroHydroV1_Work\MasterIntegrated_Output\05_Tools\microhydro_master_integrator.py; MicroHydroV1_Work\tools\microhydro_master_integrator.py"
"MicroHydroV1_Addon_macOS.zip","2","IDENTICAL","1","7.76","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD\MicroHydroV1_Addon_macOS.zip; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\MicroHydroV1_\09_Packages\original\MicroHydroV1_Addon_macOS.zip"
"MicroHydroV1_Bench_Test_Tracker.xlsx","4","DIFFERENT VERSIONS","2","13.62","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_Bench_Test_Tracker.xlsx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\05_Tank_Hydraulics_Unit\MicroHydroV1_Bench_Test_Tracker.xlsx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\05_Tank_Hydraulics_Unit\MicroHydroV1_Bench_Test_Tracker.xlsx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\MicroHydroV1_\03_Data\RnD_Workbook\MicroHydroV1_Bench_Test_Tracker.xlsx"
"MicroHydroV1_CAD Archive.zip","2","IDENTICAL","1","1046.44","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive.zip; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\MicroHydroV1_CAD Archive.zip"
"MicroHydroV1_Calibration_AutoEmbed_AddOn_v0.3.0 (1).zip","5","IDENTICAL","1","11.05","MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\docs\addons\zips\MicroHydroV1_Calibration_AutoEmbed_AddOn_v0.3.0 (1).zip; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\MicroHydroV1_Calibration_AutoEmbed_AddOn_v0.3.0 (1).zip; MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_Calibration_AutoEmbed_AddOn_v0.3.0 (1).zip; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_Calibration_AutoEmbed_AddOn_v0.3.0 (1).zip; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\MicroHydroV1_Calibration_AutoEmbed_AddOn_v0.3.0 (1).zip"
"MicroHydroV1_Calibration_AutoEmbed_AddOn_v0.3.0.zip","6","IDENTICAL","1","11.05","MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\docs\addons\zips\MicroHydroV1_Calibration_AutoEmbed_AddOn_v0.3.0.zip; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\MicroHydroV1_Calibration_AutoEmbed_AddOn_v0.3.0.zip; MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_Calibration_AutoEmbed_AddOn_v0.3.0.zip; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_Calibration_AutoEmbed_AddOn_v0.3.0.zip; MicroHydroV1_Work\MasterIntegrated_Output\03_Packages_Original_Zips\MicroHydroV1_Calibration_AutoEmbed_AddOn_v0.3.0.zip; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\MicroHydroV1_Calibration_AutoEmbed_AddOn_v0.3.0.zip"
"MicroHydroV1_Complete_Engineering_Package.zip","2","IDENTICAL","1","35.4","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD\MicroHydroV1_Complete_Engineering_Package.zip; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\MicroHydroV1_\09_Packages\original\MicroHydroV1_Complete_Engineering_Package.zip"
"MicroHydroV1_Design_vNext_Readout_Stages_A-D.docx","2","IDENTICAL","1","38.22","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\New Folder With Items\10_Design_VNext\MicroHydroV1_Design_vNext_Readout_Stages_A-D.docx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\10_Design_VNext\MicroHydroV1_Design_vNext_Readout_Stages_A-D.docx"
"MicroHydroV1_DO_ALL_AddOn_v0.3.0 (1).zip","5","IDENTICAL","1","9.76","MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\docs\addons\zips\MicroHydroV1_DO_ALL_AddOn_v0.3.0 (1).zip; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\MicroHydroV1_DO_ALL_AddOn_v0.3.0 (1).zip; MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_DO_ALL_AddOn_v0.3.0 (1).zip; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_DO_ALL_AddOn_v0.3.0 (1).zip; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\MicroHydroV1_DO_ALL_AddOn_v0.3.0 (1).zip"
"MicroHydroV1_DO_ALL_AddOn_v0.3.0 (2).zip","5","IDENTICAL","1","9.76","MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\docs\addons\zips\MicroHydroV1_DO_ALL_AddOn_v0.3.0 (2).zip; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\MicroHydroV1_DO_ALL_AddOn_v0.3.0 (2).zip; MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_DO_ALL_AddOn_v0.3.0 (2).zip; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_DO_ALL_AddOn_v0.3.0 (2).zip; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\MicroHydroV1_DO_ALL_AddOn_v0.3.0 (2).zip"
"MicroHydroV1_DO_ALL_AddOn_v0.3.0 (3).zip","5","IDENTICAL","1","9.76","MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\docs\addons\zips\MicroHydroV1_DO_ALL_AddOn_v0.3.0 (3).zip; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\MicroHydroV1_DO_ALL_AddOn_v0.3.0 (3).zip; MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_DO_ALL_AddOn_v0.3.0 (3).zip; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_DO_ALL_AddOn_v0.3.0 (3).zip; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\MicroHydroV1_DO_ALL_AddOn_v0.3.0 (3).zip"
"MicroHydroV1_DO_ALL_AddOn_v0.3.0.zip","6","IDENTICAL","1","9.76","MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1\docs\addons\zips\MicroHydroV1_DO_ALL_AddOn_v0.3.0.zip; MICRO HYDRO NEW\MicroHydroV1 — SoT\MicroHydroV1_BACKUP_20260122_005746\MicroHydroV1_DO_ALL_AddOn_v0.3.0.zip; MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_DO_ALL_AddOn_v0.3.0.zip; MicroHydroV1_Work\MasterIntegrated_Output\01_SharePoint_Libraries\MicroHydroV1 — SoT\MicroHydroV1\MicroHydroV1_DO_ALL_AddOn_v0.3.0.zip; MicroHydroV1_Work\MasterIntegrated_Output\03_Packages_Original_Zips\MicroHydroV1_DO_ALL_AddOn_v0.3.0.zip; MicroHydroV1_Work\MasterIntegrated_Output\_stage\top\MicroHydroV1 ΓÇö SoT\MicroHydroV1\MicroHydroV1_DO_ALL_AddOn_v0.3.0.zip"
"MicroHydroV1_InModule_Installer.zip","2","IDENTICAL","1","2.99","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_CAD\MicroHydroV1_InModule_Installer.zip; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\MicroHydroV1_\08_Installers\MicroHydroV1_InModule_Installer.zip"
"MicroHydroV1_Master.docx","2","IDENTICAL","1","35.83","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_FULL_Workspace\Master_Package\MicroHydroV1_Master.docx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\MicroHydroV1_\07_Docs\Documentation\MicroHydroV1_Master.docx"
"MicroHydroV1_Rebuilt_Clean_Repo_20260122_002842Z.zip","2","IDENTICAL","1","357.74","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_Rebuilt_Clean_Repo_20260122_002842Z.zip; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\MicroHydroV1_Rebuilt_Clean_Repo_20260122_002842Z.zip"
"MicroHydroV1_RnD_Export (1).xlsx","2","IDENTICAL","1","14.45","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_RnD_Export (1).xlsx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\MicroHydroV1_\03_Data\RnD_Workbook\MicroHydroV1_RnD_Export (1).xlsx"
"MicroHydroV1_RnD_Export_SYNTH.xlsx","2","IDENTICAL","1","21.96","MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE\MicroHydroV1_CAD Archive\MicroHydroV1_RnD_Export_SYNTH.xlsx; MICRO HYDRO NEW\MICRO HYDRO - OLD\RnD\MASTER_PRODUCTION_PACKAGE 2\MicroHydroV1_\03_Data\RnD_Workbook\MicroHydroV1_RnD_Export_SYNTH.xlsx"
